Price,Close,High,Low,Open,Volume
Ticker,QAN.AX,QAN.AX,QAN.AX,QAN.AX,QAN.AX
Date,,,,,
2020-06-18,4.349999904632568,4.460000038146973,4.309999942779541,4.449999809265137,13640389
2020-06-19,4.369999885559082,4.460000038146973,4.360000133514404,4.400000095367432,10033299
2020-06-22,4.190000057220459,4.260000228881836,4.170000076293945,4.25,11154340
2020-06-23,4.309999942779541,4.320000171661377,4.139999866485596,4.210000038146973,13924830
2020-06-24,4.190000057220459,4.320000171661377,4.179999828338623,4.309999942779541,8536126
2020-06-25,4.190000057220459,4.190000057220459,4.190000057220459,4.190000057220459,0
2020-06-26,3.809999942779541,4.010000228881836,3.7699999809265137,4.0,64079984
2020-06-29,3.619999885559082,3.7200000286102295,3.5899999141693115,3.7100000381469727,22996682
2020-06-30,3.7799999713897705,3.9100000858306885,3.7200000286102295,3.7200000286102295,30552780
2020-07-01,3.869999885559082,4.0,3.7799999713897705,3.7799999713897705,30126539
2020-07-02,3.9100000858306885,4.010000228881836,3.869999885559082,3.940000057220459,58979518
2020-07-03,3.819999933242798,3.990000009536743,3.759999990463257,3.9800000190734863,14249670
2020-07-06,3.7899999618530273,3.880000114440918,3.740000009536743,3.809999942779541,15267760
2020-07-07,3.6600000858306885,3.8499999046325684,3.6500000953674316,3.8299999237060547,21240101
2020-07-08,3.609999895095825,3.6600000858306885,3.569999933242798,3.5999999046325684,20414913
2020-07-09,3.609999895095825,3.680000066757202,3.569999933242798,3.619999885559082,12140596
2020-07-10,3.509999990463257,3.700000047683716,3.5,3.700000047683716,17397585
2020-07-13,3.509999990463257,3.630000114440918,3.4700000286102295,3.549999952316284,11489181
2020-07-14,3.490000009536743,3.5399999618530273,3.430000066757202,3.4700000286102295,8863532
2020-07-15,3.640000104904175,3.6500000953674316,3.5,3.549999952316284,10577937
2020-07-16,3.700000047683716,3.8499999046325684,3.680000066757202,3.799999952316284,17477492
2020-07-17,3.619999885559082,3.7300000190734863,3.559999942779541,3.7100000381469727,8982142
2020-07-20,3.630000114440918,3.640000104904175,3.5,3.5999999046325684,8996287
2020-07-21,3.799999952316284,3.799999952316284,3.619999885559082,3.6600000858306885,12264089
2020-07-22,3.6700000762939453,3.75,3.630000114440918,3.740000009536743,12714444
2020-07-23,3.740000009536743,3.740000009536743,3.6600000858306885,3.680000066757202,6467269
2020-07-24,3.640000104904175,3.7200000286102295,3.619999885559082,3.690000057220459,6075858
2020-07-27,3.680000066757202,3.680000066757202,3.5899999141693115,3.640000104904175,5816771
2020-07-28,3.5899999141693115,3.680000066757202,3.5799999237060547,3.640000104904175,5844107
2020-07-29,3.4800000190734863,3.630000114440918,3.4700000286102295,3.5799999237060547,14824612
2020-07-30,3.359999895095825,3.4700000286102295,3.3499999046325684,3.4600000381469727,18258048
2020-07-31,3.2300000190734863,3.3499999046325684,3.200000047683716,3.3399999141693115,23172628
2020-08-03,3.200000047683716,3.2200000286102295,3.119999885559082,3.190000057220459,14191074
2020-08-04,3.259999990463257,3.309999942779541,3.2100000381469727,3.25,13549554
2020-08-05,3.240000009536743,3.299999952316284,3.2100000381469727,3.259999990463257,10467360
2020-08-06,3.309999942779541,3.380000114440918,3.25,3.25,18089884
2020-08-07,3.319999933242798,3.4100000858306885,3.2950000762939453,3.3299999237060547,11858247
2020-08-10,3.430000066757202,3.440000057220459,3.309999942779541,3.359999895095825,10808482
2020-08-11,3.559999942779541,3.5899999141693115,3.4600000381469727,3.4700000286102295,12996720
2020-08-12,3.5999999046325684,3.609999895095825,3.4700000286102295,3.5399999618530273,11690030
2020-08-13,3.5999999046325684,3.6449999809265137,3.5450000762939453,3.609999895095825,18849488
2020-08-14,3.680000066757202,3.680000066757202,3.5999999046325684,3.5999999046325684,10507738
2020-08-17,3.7100000381469727,3.75,3.6700000762939453,3.690000057220459,18280170
2020-08-18,3.680000066757202,3.7100000381469727,3.569999933242798,3.690000057220459,20382149
2020-08-19,3.759999990463257,3.7750000953674316,3.680000066757202,3.700000047683716,8955789
2020-08-20,3.759999990463257,3.809999942779541,3.6700000762939453,3.7300000190734863,17191187
2020-08-21,3.9000000953674316,3.9000000953674316,3.680000066757202,3.740000009536743,21128909
2020-08-24,3.7300000190734863,3.9200000762939453,3.7100000381469727,3.880000114440918,16814481
2020-08-25,3.8399999141693115,3.880000114440918,3.759999990463257,3.819999933242798,12772315
2020-08-26,3.7899999618530273,3.825000047683716,3.700000047683716,3.7799999713897705,22037210
2020-08-27,3.8299999237060547,3.869999885559082,3.740000009536743,3.7899999618530273,25836620
2020-08-28,3.890000104904175,3.9000000953674316,3.7899999618530273,3.809999942779541,14154561
2020-08-31,3.940000057220459,4.0,3.9000000953674316,3.9200000762939453,14976548
2020-09-01,3.890000104904175,3.9200000762939453,3.7899999618530273,3.9100000858306885,15468154
2020-09-02,3.950000047683716,4.019999980926514,3.9000000953674316,3.9800000190734863,9828186
2020-09-03,3.9600000381469727,4.039999961853027,3.940000057220459,3.9800000190734863,10347740
2020-09-04,3.890000104904175,3.890000104904175,3.7799999713897705,3.8499999046325684,14401259
2020-09-07,3.9200000762939453,3.930000066757202,3.819999933242798,3.8499999046325684,15881944
2020-09-08,4.090000152587891,4.090000152587891,3.9200000762939453,3.940000057220459,14782485
2020-09-09,3.9200000762939453,3.9800000190734863,3.859999895095825,3.9700000286102295,19216881
2020-09-10,3.9100000858306885,3.990000009536743,3.859999895095825,3.9800000190734863,11408331
2020-09-11,3.819999933242798,3.869999885559082,3.7699999809265137,3.8499999046325684,8989525
2020-09-14,3.940000057220459,3.950000047683716,3.865000009536743,3.869999885559082,9766679
2020-09-15,3.940000057220459,3.9600000381469727,3.890000104904175,3.9200000762939453,7402720
2020-09-16,4.039999961853027,4.039999961853027,3.950000047683716,3.990000009536743,11807036
2020-09-17,3.9600000381469727,4.090000152587891,3.9600000381469727,4.070000171661377,15064726
2020-09-18,3.9800000190734863,4.010000228881836,3.9000000953674316,3.9800000190734863,11232950
2020-09-21,3.8399999141693115,3.950000047683716,3.8350000381469727,3.940000057220459,12463982
2020-09-22,3.7699999809265137,3.799999952316284,3.6700000762939453,3.799999952316284,23203544
2020-09-23,3.940000057220459,3.940000057220459,3.7799999713897705,3.809999942779541,20160449
2020-09-24,3.869999885559082,3.9600000381469727,3.8399999141693115,3.9000000953674316,11453240
2020-09-25,3.880000114440918,3.9000000953674316,3.819999933242798,3.890000104904175,8662699
2020-09-28,4.130000114440918,4.144999980926514,3.930000066757202,3.950000047683716,25460092
2020-09-29,4.21999979019165,4.289999961853027,4.190000057220459,4.21999979019165,22008739
2020-09-30,4.050000190734863,4.21999979019165,4.03000020980835,4.179999828338623,24850024
2020-10-01,4.130000114440918,4.159999847412109,4.070000171661377,4.070000171661377,13964357
2020-10-02,4.110000133514404,4.260000228881836,4.070000171661377,4.150000095367432,24222783
2020-10-05,4.309999942779541,4.329999923706055,4.230000019073486,4.289999961853027,9275935
2020-10-06,4.369999885559082,4.380000114440918,4.28000020980835,4.360000133514404,14464064
2020-10-07,4.340000152587891,4.440000057220459,4.25,4.349999904632568,13871487
2020-10-08,4.269999980926514,4.375,4.260000228881836,4.340000152587891,13319665
2020-10-09,4.320000171661377,4.360000133514404,4.269999980926514,4.289999961853027,9034901
2020-10-12,4.300000190734863,4.349999904632568,4.230000019073486,4.320000171661377,9076701
2020-10-13,4.300000190734863,4.409999847412109,4.300000190734863,4.320000171661377,10877614
2020-10-14,4.210000038146973,4.289999961853027,4.210000038146973,4.260000228881836,13392644
2020-10-15,4.25,4.340000152587891,4.210000038146973,4.25,9557280
2020-10-16,4.210000038146973,4.329999923706055,4.210000038146973,4.269999980926514,8289601
2020-10-19,4.320000171661377,4.360000133514404,4.230000019073486,4.25,8128619
2020-10-20,4.360000133514404,4.380000114440918,4.28000020980835,4.320000171661377,10145133
2020-10-21,4.369999885559082,4.460000038146973,4.360000133514404,4.380000114440918,6613319
2020-10-22,4.429999828338623,4.449999809265137,4.269999980926514,4.329999923706055,10749264
2020-10-23,4.550000190734863,4.579999923706055,4.440000057220459,4.440000057220459,18304479
